Code,Definition
O09.212,"Supervision of pregnancy with history of pre-term labor, second trimester"
O09.213,"Supervision of pregnancy with history of pre-term labor, third trimester"
O09.219,"Supervision of pregnancy with history of pre-term labor, unspecified trimester"
O09.291,"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"
O09.292,"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"
O09.293,"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester"
O09.299,"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester"
O09.30,"Supervision of pregnancy with insufficient antenatal care, unspecified trimester"
O09.31,"Supervision of pregnancy with insufficient antenatal care, first trimester"
O09.32,"Supervision of pregnancy with insufficient antenatal care, second trimester"
O09.33,"Supervision of pregnancy with insufficient antenatal care, third trimester"
O09.40,"Supervision of pregnancy with grand multiparity, unspecified trimester"
O09.41,"Supervision of pregnancy with grand multiparity, first trimester"
O09.42,"Supervision of pregnancy with grand multiparity, second trimester"
O09.43,"Supervision of pregnancy with grand multiparity, third trimester"
O09.511,"Supervision of elderly primigravida, first trimester"
O09.512,"Supervision of elderly primigravida, second trimester"
O09.513,"Supervision of elderly primigravida, third trimester"
O09.519,"Supervision of elderly primigravida, unspecified trimester"
O09.521,"Supervision of elderly multigravida, first trimester"
O09.522,"Supervision of elderly multigravida, second trimester"
O09.523,"Supervision of elderly multigravida, third trimester"
O09.529,"Supervision of elderly multigravida, unspecified trimester"
O09.611,"Supervision of young primigravida, first trimester"
O09.612,"Supervision of young primigravida, second trimester"
O09.613,"Supervision of young primigravida, third trimester"
O09.619,"Supervision of young primigravida, unspecified trimester"
O09.621,"Supervision of young multigravida, first trimester"
O09.622,"Supervision of young multigravida, second trimester"
O09.623,"Supervision of young multigravida, third trimester"
O09.629,"Supervision of young multigravida, unspecified trimester"
O09.70,"Supervision of high risk pregnancy due to social problems, unspecified trimester"
O09.71,"Supervision of high risk pregnancy due to social problems, first trimester"
O09.72,"Supervision of high risk pregnancy due to social problems, second trimester"
O09.73,"Supervision of high risk pregnancy due to social problems, third trimester"
O09.811,"Supervision of pregnancy resulting from assisted reproductive technology, first trimester"
O09.812,"Supervision of pregnancy resulting from assisted reproductive technology, second trimester"
O09.813,"Supervision of pregnancy resulting from assisted reproductive technology, third trimester"
O09.819,"Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester"
O09.821,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, first trimester"
O09.822,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, second trimester"
O09.823,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester"
O09.829,"Supervision of pregnancy with history of in utero procedure during previous pregnancy, unspecified trimester"
O09.891,"Supervision of other high risk pregnancies, first trimester"
O09.892,"Supervision of other high risk pregnancies, second trimester"
O09.893,"Supervision of other high risk pregnancies, third trimester"
O09.899,"Supervision of other high risk pregnancies, unspecified trimester"
O09.90,"Supervision of high risk pregnancy, unspecified, unspecified trimester"
O09.91,"Supervision of high risk pregnancy, unspecified, first trimester"
O09.92,"Supervision of high risk pregnancy, unspecified, second trimester"
O09.93,"Supervision of high risk pregnancy, unspecified, third trimester"
O09.A0,"Supervision of pregnancy with history of molar pregnancy, unspecified trimester"
O09.A1,"Supervision of pregnancy with history of molar pregnancy, first trimester"
O09.A2,"Supervision of pregnancy with history of molar pregnancy, second trimester"
O09.A3,"Supervision of pregnancy with history of molar pregnancy, third trimester"
O10.011,"Pre-existing essential hypertension complicating pregnancy, first trimester"
O10.012,"Pre-existing essential hypertension complicating pregnancy, second trimester"
O10.013,"Pre-existing essential hypertension complicating pregnancy, third trimester"
O10.019,"Pre-existing essential hypertension complicating pregnancy, unspecified trimester"
O10.02,Pre-existing essential hypertension complicating childbirth
O10.03,Pre-existing essential hypertension complicating the puerperium
O10.111,"Pre-existing hypertensive heart disease complicating pregnancy, first trimester"
O10.112,"Pre-existing hypertensive heart disease complicating pregnancy, second trimester"
O10.113,"Pre-existing hypertensive heart disease complicating pregnancy, third trimester"
O10.119,"Pre-existing hypertensive heart disease complicating pregnancy, unspecified trimester"
O10.12,Pre-existing hypertensive heart disease complicating childbirth
O10.13,Pre-existing hypertensive heart disease complicating the puerperium
O10.211,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester"
O10.212,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester"
O10.213,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester"
O10.219,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester"
O10.22,Pre-existing hypertensive chronic kidney disease complicating childbirth
O10.23,Pre-existing hypertensive chronic kidney disease complicating the puerperium
O10.311,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester"
O10.312,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester"
O10.313,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester"
O10.319,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified trimester"
O10.32,Pre-existing hypertensive heart and chronic kidney disease complicating childbirth
O10.33,Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium
O10.411,"Pre-existing secondary hypertension complicating pregnancy, first trimester"
O10.412,"Pre-existing secondary hypertension complicating pregnancy, second trimester"
O10.413,"Pre-existing secondary hypertension complicating pregnancy, third trimester"
O10.419,"Pre-existing secondary hypertension complicating pregnancy, unspecified trimester"
O10.42,Pre-existing secondary hypertension complicating childbirth
O10.43,Pre-existing secondary hypertension complicating the puerperium
O10.911,"Unspecified pre-existing hypertension complicating pregnancy, first trimester"
O10.912,"Unspecified pre-existing hypertension complicating pregnancy, second trimester"
O10.913,"Unspecified pre-existing hypertension complicating pregnancy, third trimester"
O10.919,"Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester"
O10.92,Unspecified pre-existing hypertension complicating childbirth
O10.93,Unspecified pre-existing hypertension complicating the puerperium
O11.1,"Pre-existing hypertension with pre-eclampsia, first trimester"
O11.2,"Pre-existing hypertension with pre-eclampsia, second trimester"
O11.3,"Pre-existing hypertension with pre-eclampsia, third trimester"
O11.4,"Pre-existing hypertension with pre-eclampsia, complicating childbirth"
O11.5,"Pre-existing hypertension with pre-eclampsia, complicating the puerperium"
O11.9,"Pre-existing hypertension with pre-eclampsia, unspecified trimester"
O12.00,"Gestational edema, unspecified trimester"
O12.01,"Gestational edema, first trimester"
O12.02,"Gestational edema, second trimester"
O12.03,"Gestational edema, third trimester"
O12.04,"Gestational edema, complicating childbirth"
O12.05,"Gestational edema, complicating the puerperium"
O12.10,"Gestational proteinuria, unspecified trimester"
O12.11,"Gestational proteinuria, first trimester"
O12.12,"Gestational proteinuria, second trimester"
O12.13,"Gestational proteinuria, third trimester"
O12.14,"Gestational proteinuria, complicating childbirth"
O12.15,"Gestational proteinuria, complicating the puerperium"
O12.20,"Gestational edema with proteinuria, unspecified trimester"
O12.21,"Gestational edema with proteinuria, first trimester"
O12.22,"Gestational edema with proteinuria, second trimester"
O12.23,"Gestational edema with proteinuria, third trimester"
O12.24,"Gestational edema with proteinuria, complicating childbirth"
O12.25,"Gestational edema with proteinuria, complicating the puerperium"
O13.1,"Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester"
O13.2,"Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester"
O13.3,"Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester"
O13.4,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth"
O13.5,"Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating the puerperium"
O13.9,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester"
O14.00,"Mild to moderate pre-eclampsia, unspecified trimester"
O14.02,"Mild to moderate pre-eclampsia, second trimester"
O14.03,"Mild to moderate pre-eclampsia, third trimester"
O14.04,"Mild to moderate pre-eclampsia, complicating childbirth"
O14.05,"Mild to moderate pre-eclampsia, complicating the puerperium"
O14.10,"Severe pre-eclampsia, unspecified trimester"
O14.12,"Severe pre-eclampsia, second trimester"
O14.13,"Severe pre-eclampsia, third trimester"
O14.14,Severe pre-eclampsia complicating childbirth
O14.15,"Severe pre-eclampsia, complicating the puerperium"
O14.20,"HELLP syndrome (HELLP), unspecified trimester"
O14.22,"HELLP syndrome (HELLP), second trimester"
O14.23,"HELLP syndrome (HELLP), third trimester"
O14.24,"HELLP syndrome, complicating childbirth"
O14.25,"HELLP syndrome, complicating the puerperium"
O14.90,"Unspecified pre-eclampsia, unspecified trimester"
O14.92,"Unspecified pre-eclampsia, second trimester"
O14.93,"Unspecified pre-eclampsia, third trimester"
O14.94,"Unspecified pre-eclampsia, complicating childbirth"
O14.95,"Unspecified pre-eclampsia, complicating the puerperium"
O15.00,"Eclampsia complicating pregnancy, unspecified trimester"
O15.02,"Eclampsia complicating pregnancy, second trimester"
O15.03,"Eclampsia complicating pregnancy, third trimester"
O15.1,Eclampsia complicating labor
O15.2,Eclampsia complicating the puerperium
O15.9,"Eclampsia, unspecified as to time period"
O16.1,"Unspecified maternal hypertension, first trimester"
O16.2,"Unspecified maternal hypertension, second trimester"
O16.3,"Unspecified maternal hypertension, third trimester"
O16.4,"Unspecified maternal hypertension, complicating childbirth"
O16.5,"Unspecified maternal hypertension, complicating the puerperium"
O16.9,"Unspecified maternal hypertension, unspecified trimester"
O20.0,Threatened abortion
O20.8,Other hemorrhage in early pregnancy
O20.9,"Hemorrhage in early pregnancy, unspecified"
O21.0,Mild hyperemesis gravidarum
O21.1,Hyperemesis gravidarum with metabolic disturbance
O21.2,Late vomiting of pregnancy
O21.8,Other vomiting complicating pregnancy
O21.9,"Vomiting of pregnancy, unspecified"
O22.00,"Varicose veins of lower extremity in pregnancy, unspecified trimester"
O22.01,"Varicose veins of lower extremity in pregnancy, first trimester"
O22.02,"Varicose veins of lower extremity in pregnancy, second trimester"
O22.03,"Varicose veins of lower extremity in pregnancy, third trimester"
O22.10,"Genital varices in pregnancy, unspecified trimester"
O22.11,"Genital varices in pregnancy, first trimester"
O22.12,"Genital varices in pregnancy, second trimester"
O22.13,"Genital varices in pregnancy, third trimester"
O22.20,"Superficial thrombophlebitis in pregnancy, unspecified trimester"
O22.21,"Superficial thrombophlebitis in pregnancy, first trimester"
O22.22,"Superficial thrombophlebitis in pregnancy, second trimester"
O22.23,"Superficial thrombophlebitis in pregnancy, third trimester"
O22.30,"Deep phlebothrombosis in pregnancy, unspecified trimester"
O22.31,"Deep phlebothrombosis in pregnancy, first trimester"
O22.32,"Deep phlebothrombosis in pregnancy, second trimester"
O22.33,"Deep phlebothrombosis in pregnancy, third trimester"
